datetime order_book_id side position_effect
2020-07-16 22:02:00 I88 SELL CLOSE_TODAY
2020-07-16 22:03:00 I88 BUY OPEN
2020-07-16 22:16:00 I88 SELL CLOSE_TODAY
2020-07-17 10:40:00 I88 SELL OPEN
2020-07-17 10:42:00 I88 BUY CLOSE_TODAY
2020-07-17 10:44:00 I88 SELL OPEN
2020-07-17 10:53:00 I88 BUY CLOSE_TODAY
2020-07-21 09:04:00 I88 SELL OPEN
2020-07-21 09:49:00 I88 BUY CLOSE_TODAY
2020-07-21 09:50:00 I88 SELL OPEN
2020-07-21 09:51:00 I88 BUY CLOSE_TODAY
2020-07-21 14:24:00 I88 SELL OPEN
2020-07-21 14:28:00 I88 BUY CLOSE_TODAY
2020-07-21 14:29:00 I88 SELL OPEN
2020-07-21 14:34:00 I88 BUY CLOSE_TODAY
2020-07-21 21:49:00 I88 SELL OPEN
2020-07-21 21:50:00 I88 BUY CLOSE_TODAY
2020-07-21 21:52:00 I88 SELL OPEN
2020-07-21 21:53:00 I88 BUY CLOSE_TODAY
2020-07-22 09:04:00 I88 SELL OPEN
2020-07-22 09:24:00 I88 BUY CLOSE_TODAY
2020-07-22 09:29:00 I88 SELL OPEN
2020-07-22 09:30:00 I88 BUY CLOSE_TODAY
2020-07-24 13:37:00 I88 BUY OPEN
2020-07-24 13:39:00 I88 SELL CLOSE_TODAY
2020-07-24 13:41:00 I88 BUY OPEN
2020-07-24 14:04:00 I88 SELL CLOSE_TODAY
2020-07-24 14:05:00 I88 BUY OPEN
2020-07-24 14:15:00 I88 SELL CLOSE_TODAY
2020-07-24 21:09:00 I88 BUY OPEN
2020-07-24 21:10:00 I88 SELL CLOSE_TODAY
2020-07-30 22:00:00 I88 BUY OPEN
2020-07-30 22:01:00 I88 SELL CLOSE_TODAY
2020-07-30 22:15:00 I88 BUY OPEN
2020-07-30 22:16:00 I88 SELL CLOSE_TODAY
2020-07-30 22:17:00 I88 BUY OPEN
2020-07-30 22:24:00 I88 SELL CLOSE_TODAY
2020-07-30 22:26:00 I88 BUY OPEN
2020-07-30 22:27:00 I88 SELL CLOSE_TODAY
2020-07-31 13:35:00 I88 SELL OPEN
2020-07-31 13:36:00 I88 BUY CLOSE_TODAY
2020-07-31 13:37:00 I88 SELL OPEN
2020-07-31 13:40:00 I88 BUY CLOSE_TODAY
2020-07-31 13:42:00 I88 SELL OPEN
